Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Spindle Assembly Checkpoint Signaling (GO:0071173)	9/26	7.467508e-09	5.511021e-06	0	0	2.105114e+01	3.939238e+02	CDC20;CENPF;BUB1B;TTK;BUB1;NDC80;ZWINT;SPC24;SPC25
GO_Biological_Process_2023	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	9/26	7.467508e-09	5.511021e-06	0	0	2.105114e+01	3.939238e+02	CDC20;CENPF;BUB1B;TTK;BUB1;NDC80;ZWINT;SPC24;SPC25
GO_Biological_Process_2023	Mitotic Spindle Checkpoint Signaling (GO:0071174)	9/26	7.467508e-09	5.511021e-06	0	0	2.105114e+01	3.939238e+02	CDC20;CENPF;BUB1B;TTK;BUB1;NDC80;ZWINT;SPC24;SPC25
GO_Biological_Process_2023	Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	9/28	1.578943e-08	8.739448e-06	0	0	1.883330e+01	3.383199e+02	CDC20;CENPF;BUB1B;TTK;BUB1;NDC80;ZWINT;SPC24;SPC25
GO_Biological_Process_2023	Protein Hydroxylation (GO:0018126)	6/13	3.461442e-07	1.532726e-04	0	0	3.389278e+01	5.042030e+02	P3H2;P3H1;P3H4;PLOD2;P3H3;PLOD1
GO_Biological_Process_2023	Mitotic Cell Cycle Phase Transition (GO:0044772)	14/111	6.945355e-07	2.562836e-04	0	0	5.774386e+00	8.188093e+01	CDKN1A;UBE2C;CDC25C;CDC25A;AURKA;CCNB1;WEE1;CCND1;CDK2;CDK1;TACC3;RCC1;NES;CDKN3
GO_Biological_Process_2023	Negative Regulation Of Epithelial Cell Proliferation (GO:0050680)	11/70	1.197080e-06	3.716716e-04	0	0	7.427827e+00	1.012831e+02	TGFB2;SPARC;CAV2;STAT1;CAV1;NR2F2;BRCA2;SULF1;B2M;THBS1;GDF5
GO_Biological_Process_2023	Mitotic G2/M Transition Checkpoint (GO:0044818)	9/46	1.689446e-06	3.716716e-04	0	0	9.662217e+00	1.284216e+02	CDKN1A;DEPDC1B;ORC1;CHEK1;CDK1;NABP1;CLSPN;CDC6;TICRR
GO_Biological_Process_2023	Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)	10/59	1.793049e-06	3.716716e-04	0	0	8.118192e+00	1.074166e+02	CENPE;CCNB1;KIF4A;CDK1;TACC3;RCC1;BIRC5;TTK;NDC80;SPC25
GO_Biological_Process_2023	Platelet Aggregation (GO:0070527)	8/35	1.846607e-06	3.716716e-04	0	0	1.175168e+01	1.551475e+02	PDGFRA;ACTN1;TLN1;CLIC1;MYL9;MYL12A;VCL;ACTG1
GO_Biological_Process_2023	Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389)	8/35	1.846607e-06	3.716716e-04	0	0	1.175168e+01	1.551475e+02	CDKN1A;CCNB1;CENPF;CCND1;CDK2;CDK1;CDC25C;CDC25A
GO_Biological_Process_2023	Positive Regulation Of Chromosome Segregation (GO:0051984)	6/18	3.366766e-06	5.681753e-04	0	0	1.976572e+01	2.490789e+02	CCNB1;NCAPG2;CDK1;NCAPG;CDC6;NCAPH
GO_Biological_Process_2023	Regulation Of Endothelial Cell Proliferation (GO:0001936)	12/93	3.397596e-06	5.681753e-04	0	0	5.907674e+00	7.439204e+01	BMP4;SPARC;ANGPT1;CAV2;STAT1;CAV1;WNT5A;VEGFC;NR2F2;SULF1;THBS1;VEGFA
GO_Biological_Process_2023	G2/M Transition Of Mitotic Cell Cycle (GO:0000086)	8/38	3.592798e-06	5.681753e-04	0	0	1.057488e+01	1.325728e+02	CCNB1;WEE1;CDK2;CDK1;CDC25C;NES;CDC25A;AURKA
GO_Biological_Process_2023	Regulation Of Cell Population Proliferation (GO:0042127)	41/766	4.021399e-06	5.935585e-04	0	0	2.318374e+00	2.880320e+01	YAP1;CDKN1A;TFRC;TGFB1I1;TTK;THBS1;ACTB;GPNMB;SIX4;PDGFC;NTF3;EMILIN1;TIMP1;E2F7;KLF10;PDGFRB;TFAP2A;PDGFRA;OSR2;TFAP2C;TGFB2;JAG1;NIBAN2;TSLP;STAT1;P3H2;P3H1;VEGFC;CDC6;P3H3;RUNX1;VEGFA;FOSL1;BMP4;BST1;CLCF1;CDK2;AGTR1;BIRC5;CALR;CDKN3
GO_Biological_Process_2023	Regulation Of Chromosome Segregation (GO:0051983)	7/28	4.335416e-06	5.999132e-04	0	0	1.319783e+01	1.629760e+02	CDCA2;NCAPG2;NCAPG;KIF2C;CDC6;BUB1;NCAPH
GO_Biological_Process_2023	Supramolecular Fiber Organization (GO:0097435)	23/316	5.011584e-06	6.516912e-04	0	0	3.167637e+00	3.865708e+01	TGFB2;KRT80;TPM4;COL14A1;ACTN1;TPM2;TPM1;LOXL3;SHROOM3;P3H4;CNN2;CNN1;BMP1;KIF18B;PXDN;SERPINH1;KIF2C;EMILIN1;CD36;VIM;B2M;MYL9;DDR2
GO_Biological_Process_2023	Cell Cycle G2/M Phase Transition (GO:0044839)	8/40	5.407836e-06	6.516912e-04	0	0	9.912933e+00	1.202207e+02	CCNB1;WEE1;CDK2;CDK1;CDC25C;NES;CDC25A;AURKA
GO_Biological_Process_2023	Regulation Of Blood Coagulation (GO:0030193)	7/29	5.592652e-06	6.516912e-04	0	0	1.259728e+01	1.523523e+02	PLAU;CAV1;SERPINE1;PLAUR;EMILIN1;TFPI;THBS1
GO_Biological_Process_2023	Collagen Fibril Organization (GO:0030199)	8/42	7.944232e-06	8.794264e-04	0	0	9.328861e+00	1.095494e+02	TGFB2;BMP1;COL14A1;PXDN;LOXL3;SERPINH1;P3H4;DDR2
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	9/56	9.312294e-06	9.817819e-04	0	0	7.602518e+00	8.806890e+01	PDGFRB;BMP4;CCNB1;CDCA2;CAV2;CHEK1;RCC1;CDC25C;AURKA
GO_Biological_Process_2023	Regulation Of Bone Mineralization (GO:0030500)	9/58	1.252381e-05	1.215148e-03	0	0	7.291462e+00	8.230514e+01	TFAP2A;BMP4;OSR2;ENPP1;TWIST1;ANO6;TENT5A;SGMS2;DDR2
GO_Biological_Process_2023	Peptidyl-Lysine Hydroxylation (GO:0017185)	4/7	1.262349e-05	1.215148e-03	0	0	5.251987e+01	5.924215e+02	P3H4;PLOD2;P3H3;PLOD1
GO_Biological_Process_2023	Homotypic Cell-Cell Adhesion (GO:0034109)	8/46	1.609144e-05	1.484435e-03	0	0	8.345160e+00	9.210740e+01	PDGFRA;ACTN1;TLN1;CLIC1;MYL9;MYL12A;VCL;ACTG1
GO_Biological_Process_2023	Positive Regulation Of Protein Phosphorylation (GO:0001934)	24/377	2.923541e-05	2.545332e-03	0	0	2.740731e+00	2.861358e+01	NIBAN1;CDKN1A;CEMIP;TGFB2;TFRC;ANGPT1;BDNF;CAV1;PLAUR;VEGFC;TTK;GDF6;GDF5;VEGFA;NTF4;BMP4;CENPE;GPNMB;CCND1;PDGFC;NTF3;BIRC5;CD44;DDR2
GO_Biological_Process_2023	Regulation Of Ossification (GO:0030278)	7/37	3.104063e-05	2.545332e-03	0	0	9.234214e+00	9.585311e+01	BMP4;WNT5A;TWIST1;ENPP1;SGMS2;TENT5A;DDR2
GO_Biological_Process_2023	Negative Regulation Of Endothelial Cell Proliferation (GO:0001937)	7/37	3.104063e-05	2.545332e-03	0	0	9.234214e+00	9.585311e+01	SPARC;CAV2;STAT1;CAV1;NR2F2;SULF1;THBS1
GO_Biological_Process_2023	Regulation Of Plasminogen Activation (GO:0010755)	5/16	3.296108e-05	2.606280e-03	0	0	1.793338e+01	1.850758e+02	PLAU;SERPINE1;PLAUR;THBS1;RUNX1
