Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Focal Adhesion (GO:0005925),41/387,5.710098926097768e-15,1.010687509919305e-12,0,0,4.955921700280182,162.53708450972448,CD151;FBLIM1;TGFB1I1;SYNPO2;NEXN;RND3;ACTB;HSP90B1;ACTG1;CNN2;CNN1;CDH2;PLAU;ANXA6;TSPAN4;SCARF2;B2M;PDGFRB;SVIL;ANXA1;TPM4;CAV2;ACTN1;CAV1;PLAUR;AFAP1;PARVA;ENAH;PALLD;HYOU1;P4HB;CALR;VIM;PFN1;TLN1;PPIB;PHLDB2;CD44;VCL;DDR2;PLEC
GO_Cellular_Component_2023,Cell-Substrate Junction (GO:0030055),41/395,1.1518159916088671e-14,1.0193571525738472e-12,0,0,4.84190042681272,155.40007508873757,CD151;FBLIM1;TGFB1I1;SYNPO2;NEXN;RND3;ACTB;HSP90B1;ACTG1;CNN2;CNN1;CDH2;PLAU;ANXA6;TSPAN4;SCARF2;B2M;PDGFRB;SVIL;ANXA1;TPM4;CAV2;ACTN1;CAV1;PLAUR;AFAP1;PARVA;ENAH;PALLD;HYOU1;P4HB;CALR;VIM;PFN1;TLN1;PPIB;PHLDB2;CD44;VCL;DDR2;PLEC
GO_Cellular_Component_2023,Endoplasmic Reticulum Lumen (GO:0005788),33/284,2.0873546746120998e-13,1.2315392580211386e-11,0,0,5.431065437819537,158.57466631555585,COL14A1;PRSS23;FSTL1;THBS1;HSP90B1;ADAMTSL1;ADAMTS5;GANAB;CDH2;PDGFC;SERPINH1;TIMP1;B2M;ADAMTS7;ERAP2;BDNF;APLP2;WNT5A;P3H2;PLAUR;P3H1;PDIA5;CKAP4;BMP4;P4HA1;CANX;MXRA8;CALU;FAM20C;HYOU1;CALR;P4HB;PPIB
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),31/373,5.414039118801113e-09,2.395712310069493e-07,0,0,3.710757484880292,70.63156143132936,SPARC;CD151;COL14A1;TGFB1I1;SERPINE1;LOXL3;THBS1;HSP90B1;CDH2;SERPINH1;ANXA6;TIMP2;EMILIN1;POSTN;TGFB2;ANXA1;ANXA2;ANGPT1;FIBCD1;WNT5A;P3H2;BGN;P3H1;PCOLCE;SULF1;ASPN;ADAM19;MFAP5;PKM;PXDN;TGFBI
GO_Cellular_Component_2023,Actin Cytoskeleton (GO:0015629),25/327,7.978583684512287e-07,2.678531803994865e-05,0,0,3.3529982954704223,47.08057144395942,SYNPO2;NEXN;ACTB;ACTG1;CNN2;CNN1;BAIAP2L1;CDH2;CALD1;PLS3;SVIL;ANXA1;VCAM1;TPM4;ACTN1;TPM2;TPM1;AFAP1;PAWR;SHROOM3;PARVA;AXL;PALLD;CDC42EP3;DDR2
GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),46/856,9.079768827101238e-07,2.678531803994865e-05,0,0,2.343188074019568,32.598542424019634,ARHGAP11B;SPARC;COL14A1;FSTL1;PRSS23;ALDH1L2;THBS1;HSP90B1;ADAMTSL1;CNN2;ADAMTS5;GANAB;CCNB1;PRDX4;CDH2;PDGFC;SERPINH1;TIMP2;TK1;TIMP1;B2M;ADAMTS7;ERAP2;BDNF;APLP2;WNT5A;BGN;P3H2;PLAUR;P3H1;PDIA5;CKAP4;BMP4;PKM;P4HA1;MTHFD2;CANX;CDK1;MXRA8;CALU;FAM20C;HYOU1;P4HB;CALR;PPIB;VCL
GO_Cellular_Component_2023,Cytoskeleton (GO:0005856),33/599,2.0165315951391227e-05,0.0005098944176280353,0,0,2.3690645899998484,25.613251884972748,KRT80;SYNPO2;NEXN;SKA1;ACTB;AURKA;ACTG1;CNN2;CNN1;BAIAP2L1;CALD1;IGF2BP2;SVIL;TPM4;TPM2;TPM1;AFAP1;PAWR;SHROOM3;PARVA;CENPE;AXL;PALLD;CDC42EP3;BIRC5;KIF2C;VIM;P4HB;PHLDB2;NES;VCL;DDR2;PLEC
GO_Cellular_Component_2023,Condensed Nuclear Chromosome (GO:0000794),6/28,5.526835227040912e-05,0.0012228122939828,0,0,10.775769869076155,105.63821364593294,NCAPG2;CHEK1;NCAPG;RCC1;P3H4;NCAPH
GO_Cellular_Component_2023,Actin Filament (GO:0005884),9/71,6.57578325908658e-05,0.001293237374287,0,0,5.758755760368664,55.45412153369451,ANXA1;TPM4;PALLD;ACTN1;TPM2;TPM1;PLS3;PAWR;ACTG1
GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),10/89,7.444898883352147e-05,0.0013177471023533,0,0,5.027568533043411,47.78903173794439,TGFB2;SPARC;ACTN1;APLP2;SERPINE1;VEGFC;CD36;TIMP1;THBS1;VEGFA
