,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABAT,1656.4457847067533,-3.2951224579858596,0.8161674869730745,-4.14404729156319,3.412293266946066e-05,0.0002035599646606038
ABCA2,19037.640293157114,-4.177474588460371,0.38881935455701283,-10.910367789508657,1.0283943636282992e-27,1.8915864019198983e-25
ACR,5.547925471744555,-4.293059242752105,1.2422961137024726,-3.415946719795659,0.0006356068188623871,0.002670293127443241
ADARB2,641.4552264627707,-11.665160007755363,1.9053858331351474,-5.258299957950954,1.453932279431078e-07,1.515956861409715e-06
ADCY5,792.4067155981581,-3.7325759448975604,0.9501294943627457,-3.979091617022609,6.917908058839439e-05,0.00038291368410559197
ADORA3,128.4101902836523,-8.695206475831844,1.916441419226303,-3.845168052621321,0.00012046984712460996,0.0006241895618262112
ADRB1,60.743512448534084,-3.7572988371064735,1.157066730800068,-3.2662484393084457,0.0010898259004518442,0.00425925693102223
APLNR,260.0065272746322,-5.072815925410053,1.1784140712578155,-5.907726463712173,3.468613243579489e-09,5.006458169580979e-08
ALB,17.452462538332032,-4.491375824814982,1.2081663080605853,-3.633356070478007,0.00027975853008236853,0.0013125230971523026
ALDH1A1,478.2483805891622,-5.196055346625417,1.2943884012643456,-3.799342948512473,0.00014508021549091617,0.0007355003009357505
ABCD2,60.35044782605078,-3.3758266281349183,0.9973023956546873,-3.4916732712526324,0.00048000501724169726,0.0020944744471917977
ALDOB,4.99626972556971,-6.0688333037507975,1.5637969316087992,-3.641150099558156,0.00027142282741035486,0.0012805338062664786
ALDOC,5004.991714232247,-4.811728364928766,0.7126018990189192,-6.535141410265907,6.354946803155434e-11,1.2156589571316135e-09
ALOX5AP,96.03562055723746,-5.750362179414378,1.0711455933289176,-5.183999803996889,2.1717716048981513e-07,2.169805516397895e-06
AMY1A,38.57646003227523,-3.8840611303689214,0.692275920801723,-5.716755027180836,1.0857746865213706e-08,1.425215867110897e-07
AMY1C,40.698103780095074,-3.8784045544341694,0.6960581442542428,-5.675581674092447,1.382181763839537e-08,1.7737175103583037e-07
AMY2B,706.7579549010941,-3.6406828345160167,0.556721734649353,-6.684135526777274,2.3229175937550894e-11,4.816025826243392e-10
APLP1,11471.752095230038,-3.834773083474874,0.5615942168626455,-6.852751878490412,7.244267625359279e-12,1.6113722111787532e-10
APOC1,270.6718937489084,-7.250920190348518,1.0708933386272783,-6.499827357919296,8.041223897626868e-11,1.510045016482365e-09
APOE,5091.453956845393,-5.038311665140904,0.8005536116685532,-6.194981816196255,5.829175944973675e-10,9.71326216986496e-09
ARHGAP4,321.4131537014137,-3.1809002325261377,0.5696388743162454,-5.786873441516356,7.170856290301122e-09,9.770206571410274e-08
ARHGDIG,326.19062264371104,-9.016109788297445,1.2459747598484077,-6.809086107766344,9.822068057821369e-12,2.1222471449633007e-10
ASPA,1096.362618920913,-6.287826893807077,1.1507199959597108,-5.17294371547576,2.3043444374069826e-07,2.2847567134400816e-06
ATP1A2,2651.806074134579,-5.067382551163352,0.9628003812047449,-5.013514544661046,5.344472546871119e-07,4.893135280599633e-06
ATP1B2,1929.4747568265464,-4.690459298701656,1.1002429797259021,-4.137811907760303,3.506336201590133e-05,0.000208476607891478
ATP2B2,564.6341381400794,-5.41839580189866,1.0476348560615518,-5.01083099778303,5.419549450767248e-07,4.946200761460414e-06
ATP2B3,158.7635620076334,-5.554997256261904,1.0832580923313861,-4.956106799729653,7.19196937104338e-07,6.424855826049774e-06
ATP6V1G2,980.3510436606773,-5.6111022055857065,0.5398269274794828,-10.449763808844128,1.4689058626491996e-25,2.026383885714237e-23
