,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ACTA2,110309.45206099922,7.558802749740895,0.5965332055387054,4.620352570752373,3.830884829553936e-06,2.90341810087746e-05
ACTB,287832.3488572744,5.096267168384671,0.1247567637796037,3.337046869935657,0.0008467366770935627,0.003433615349423783
ACTG1,181037.23499137955,5.080758159368886,0.14013650958002424,5.462508716189051,4.694524758379029e-08,5.427264037748907e-07
ACTG2,24534.374698,6.988703610208647,1.1631959320286835,5.0758657547379045,3.8573557364491357e-07,3.6472586497848006e-06
ACTN1,60533.54987060561,6.9679923671850315,0.29215216121145904,7.757546348780703,8.65882384069131e-15,3.0825842591165814e-13
ADM,6736.562192808717,3.997397212853381,0.5502863340786194,6.979201081761592,2.9686333187194385e-12,7.033339662933987e-11
JAG1,27098.189761113405,6.6367524654866505,0.4659586823724638,5.701337772405872,1.188708293313905e-08,1.550399807652236e-07
AGTR1,267.7991699370629,3.880499529767005,1.8055959014639709,3.854851247234046,0.00011580001723558105,0.000604358984095628
AHR,13995.67561237196,4.8572817471039516,0.8994967445719418,4.546360103079234,5.458162001444041e-06,4.0096390289153945e-05
CRYBG1,2052.50913515223,3.967378894399943,1.2528992624807873,4.088427655993384,4.343069442704919e-05,0.00025236945036244423
ANGPT1,2399.9042178497707,4.172996166071706,0.7928303006443631,5.797375274663472,6.736084362629405e-09,9.212831491958443e-08
ANPEP,8598.432069523245,4.336603252778687,1.5292187350623485,3.8779305978552245,0.00010534875870410975,0.0005562895256267437
ANXA1,36901.53950437416,6.9664753371600305,0.2061929814673864,15.632492795540612,4.373530633090418e-55,5.2289203327456856e-52
ANXA2,107213.00115177264,7.734230416136977,0.200111093323367,16.75615760681311,5.105734631504763e-63,2.4417324919399612e-59
ANXA2P2,343.04273098866815,6.265391245709687,0.5284948343138809,11.813055273193523,3.3419249041973785e-32,9.892330122164619e-30
ANXA6,21967.70552843171,3.055767483352059,0.5070954260429713,3.4484422986765217,0.0005638299238620145,0.002406803902900423
AOX1,2494.4400709471247,4.2506370094388854,0.8464145571268313,5.54648743029364,2.9146557065635773e-08,3.4934474036815077e-07
BIRC5,2509.6815271429696,5.409035467988903,0.7547064989559604,5.897681840054448,3.686439145433868e-09,5.283650591362608e-08
APLP2,78551.64646582401,3.491082652288379,0.22866389355300165,7.529446083518109,5.0956020983373685e-14,1.5688112297177303e-12
AR,1533.7188634452255,3.3033128735789115,0.7876583608796547,4.69765168299303,2.6316973236451116e-06,2.074558324304199e-05
ARF4,23119.366755505944,3.1309799982708597,0.30707806242435687,7.332649082727588,2.256472319369536e-13,6.372757552361168e-12
RND3,14692.346238957289,6.568030832657727,0.4798834201252639,8.450816865889815,2.8927169634589583e-17,1.4613313477023124e-15
ASPH,38669.99255302051,3.574498316617261,0.31054042684365085,8.163614384181614,3.251457633789201e-16,1.4487162320488718e-14
ATP6V1B1,128.81110604370863,3.300739635804761,0.6227395133564676,5.773985856281089,7.741793813003431e-09,1.0478444890109455e-07
AXL,25207.886485646555,4.4643629203342545,0.3888213976403303,7.517481734501857,5.584135711505687e-14,1.7045871287866403e-12
B2M,147109.72165189567,5.901947896777682,0.17464151867288427,6.644628944032963,3.039818896239636e-11,6.186139248843979e-10
NKX3-2,53.07026485545991,5.187034803466905,1.1378245509181508,5.019529966056177,5.179806515919724e-07,4.751578266234034e-06
CCND1,31701.206443279923,6.799498209647423,0.410076809472488,6.853952037560536,7.1837175873168835e-12,1.6003850345533436e-10
BDNF,2699.0467776941,3.981401750635757,0.6860361004014586,6.277000583204266,3.451667896225421e-10,5.944907479849474e-09
BGN,55512.356274269005,6.694118744286467,0.4803514575909354,4.446799297126374,8.715920050304659e-06,6.070257522413638e-05
