,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ADCYAP1,252.48152873179367,-3.3208929377178875,0.9970885611221093,-4.21672918990001,2.4787134999949545e-05,0.004524739292534649
CALB1,499.6125374953345,-3.952886638055483,0.9472145709213305,-4.92618756021156,8.384951513518356e-07,0.0005452838781134906
NXPH2,147.11797421722827,-4.2206056655253334,1.0318555430453349,-4.840400844613749,1.2957749680315962e-06,0.0007256084357649917
PADI4,64.49605749475877,-4.104828218163984,1.1681483533996675,-4.342807220100914,1.4067356637173267e-05,0.003114273315101869
HOOK1,417.9576128839376,-3.308249337270155,0.9634224765897659,-4.305331782774192,1.6673565008293605e-05,0.003469768878225899
CNTN5,278.22735839318733,-3.7353074725408324,1.0358985999310872,-4.4410791935572265,8.950884369401338e-06,0.0022293122519362555
GPR88,223.7385516258681,-3.67917747388259,1.0178867914234515,-4.449200225586662,8.619063763590257e-06,0.0022293122519362555
RBFOX1,2838.3293047671227,-3.396908775483715,1.0232753469382143,-4.234727045578385,2.2882948308535754e-05,0.004409205132413232
STYK1,200.72855189743873,-3.882910224279861,0.9231088818841712,-4.944190461834283,7.646092338685747e-07,0.0005303839385601679
SLC17A6,367.0105052763658,-4.094506661722547,0.952457913829195,-5.02701915458762,4.981626115749067e-07,0.0003987216902643773
SLC4A10,1543.6363694188758,-3.943235104514898,1.064324407392471,-4.535780809657276,5.739076093424133e-06,0.0017061453357736602
NWD2,172.41294187862857,-3.4370456020977596,0.8437316261169966,-4.829423579114023,1.3692885268996435e-06,0.0007256084357649917
ANO3,410.8361909549234,-3.0206915878193406,0.8379635633083392,-4.440716073168527,8.966002769669455e-06,0.0022293122519362555
LNX1,856.8164959291269,-3.1533022286594825,0.838523813779615,-4.570169180957061,4.873306418020779e-06,0.001584586039984569
RGS8,147.47387511433377,-3.533011825676733,0.9751438034534667,-4.451980316341399,8.508196689290093e-06,0.0022293122519362555
LINGO2,335.64283884253143,-3.73267188225364,0.7988185421540956,-5.3606087501510356,8.29419780906943e-08,0.00010793290587677524
SPTSSB,203.59717569780733,-3.055643361556598,0.5689515320481021,-6.020383678822807,1.740041150175703e-09,9.052564083789094e-06
ZCCHC12,788.8860818033643,-3.450830196083945,0.8523733746919928,-4.825756217021485,1.3947302945987345e-06,0.0007256084357649917
UBE2L5,20.210240227484213,-3.8298729483887612,1.0197902660411853,-4.390490829410633,1.1309508519034711e-05,0.002558161655229482
FAM153B,243.77527699335403,-3.97832615865245,0.887765418203257,-5.183934152568221,2.1725366286254306e-07,0.00022605243620847605
FAM153A,1614.4085688373816,-3.1132596086940434,0.8019793740590753,-4.677840747318605,2.8991155925090703e-06,0.0011602037592329567
SLC22A10,84.45845775022897,-3.5221209255211203,0.6971908371152874,-5.694268198828247,1.2390219048147043e-08,3.22300572989925e-05
C11orf87,923.1078006151645,-3.6745094545241317,1.0718069246423496,-4.308565286203515,1.643169746998629e-05,0.003469768878225899
ANKRD20A19P,140.72644112986154,-4.106723910715205,1.0045633138900285,-4.8378635353774415,1.3124219544852897e-06,0.0007256084357649917
SERTM1,156.39718617124257,-3.3028384098708945,0.9155382935394456,-4.439933558496674,8.998665505172776e-06,0.0022293122519362555
C3orf80,287.38759225280154,-3.191243308479379,0.8317306572789286,-4.6321094745007345,3.6195865910463096e-06,0.0013506407021878705
LOC100507387,508.24638815111285,-3.714868854163526,0.9711332670258672,-4.6312530678737875,3.6345929515867734e-06,0.0013506407021878705
LHX4-AS1,72.46137696154115,-3.0434866989206326,0.6512681643219427,-5.360514173690066,8.29854153785874e-08,0.00010793290587677524
RHOXF1-AS1,119.35189331600338,-5.0498427549377904,0.8892635431653888,-6.23151889642258,4.6193426070403077e-10,4.8064259826254405e-06
LOC105369388,212.132965090462,-3.5975134711489476,0.9019252643226028,-4.759125346293975,1.9443366723365273e-06,0.0008796010032896333
LOC105370964,46.599893900639,-3.524465237334642,0.7339057280638218,-5.437137657845349,5.41433074587883e-08,9.389351901811538e-05
PNMA6F,237.048795336045,-3.6855622637547487,0.9414277549248816,-4.697024229930168,2.6397914705915173e-06,0.0011444595938126974
